Signal List,Selected signals
Top Gainers,Top Gainers
Top Losers,Upgrades
New High,TL Resistance
New Low,Channel Down
Most Volatile,Channel
Most Active,
Unusual Volume,
Overbought,
Oversold,
Downgrades,
Upgrades,
Earnings Before,
Earnings After,
Recent Insider Buying,
Recent Insider Selling,
Major News,
Horizontal S/R,
TL Resistance,
TL Support,
Wedge Up,
Wedge Down,
Triangle Ascending,
Triangle Descending,
Wedge,
Channel Up,
Channel Down,
Channel,
Double Top,
Double Bottom,
Multiple Top,
Multiple Bottom,
Head & Shoulders,
Head & Shoulders Inverse,
